"Filename","LineNumber","Path","Line"
"auth.interceptor.ts","13","C:\Users\angel\Desktop\NexoPostal\clientes-app\src\app\interceptors\auth.interceptor.ts","  if (req.url.includes('/api/')) {"
"auth.service.ts","52","C:\Users\angel\Desktop\NexoPostal\clientes-app\src\app\services\auth.service.ts","  private readonly API_URL = '/api/auth';"
"direcciones.service.ts","22","C:\Users\angel\Desktop\NexoPostal\clientes-app\src\app\services\direcciones.service.ts","  private readonly NOMINATIM_URL = '/api/nominatim';"
"envios.service.ts","70","C:\Users\angel\Desktop\NexoPostal\clientes-app\src\app\services\envios.service.ts","  private readonly API_URL = '/api/nexopostal/envios';"
"oficinas.service.ts","48","C:\Users\angel\Desktop\NexoPostal\clientes-app\src\app\services\oficinas.service.ts","  private readonly API_URL = '/api/nexopostal/oficinas';"
"pagos.service.ts","61","C:\Users\angel\Desktop\NexoPostal\clientes-app\src\app\services\pagos.service.ts","  private readonly API_URL = '/api/nexopostal/pagos';"
"perfil.service.ts","43","C:\Users\angel\Desktop\NexoPostal\clientes-app\src\app\services\perfil.service.ts","  private readonly API_URL = '/api/nexopostal/perfil';"
"tarifas.service.ts","44","C:\Users\angel\Desktop\NexoPostal\clientes-app\src\app\services\tarifas.service.ts","  private readonly API_URL = '/api/nexopostal/tarifas';"
"usuario.service.ts","27","C:\Users\angel\Desktop\NexoPostal\clientes-app\src\app\services\usuario.service.ts","  private readonly API_URL = '/api/nexopostal/auth';"
"auth.interceptor.ts","13","C:\Users\angel\Desktop\NexoPostal\intranet-app\src\app\interceptors\auth.interceptor.ts","  if (req.url.includes('/api/')) {"
"admin.service.ts","44","C:\Users\angel\Desktop\NexoPostal\intranet-app\src\app\services\admin.service.ts","  private readonly API_URL = '/api/nexopostal/ctas';"
"auth.service.ts","26","C:\Users\angel\Desktop\NexoPostal\intranet-app\src\app\services\auth.service.ts","  private readonly API_URL = '/api/auth';"
"envios-interno.service.ts","122","C:\Users\angel\Desktop\NexoPostal\intranet-app\src\app\services\envios-interno.service.ts","  private readonly API_URL = '/api/nexopostal/envios/interno';"
"intranet-api.service.ts","135","C:\Users\angel\Desktop\NexoPostal\intranet-app\src\app\services\intranet-api.service.ts","    return this.http.get<MiCtaInfo>('/api/operarios/mi-cta');"
"intranet-api.service.ts","140","C:\Users\angel\Desktop\NexoPostal\intranet-app\src\app\services\intranet-api.service.ts","    return this.http.get<MisCtasInfo>('/api/operarios/mis-ctas');"
"intranet-api.service.ts","159","C:\Users\angel\Desktop\NexoPostal\intranet-app\src\app\services\intranet-api.service.ts","    return this.http.post<AsignacionDetalle>('/api/asignaciones/crear', dto);"
"scan.service.ts","64","C:\Users\angel\Desktop\NexoPostal\intranet-app\src\app\services\scan.service.ts","  private readonly API_URL = '/api/scan';"
"auth.interceptor.ts","13","C:\Users\angel\Desktop\NexoPostal\driver-app\src\app\interceptors\auth.interceptor.ts","  if (req.url.includes('/api/')) {"
"auth.service.ts","26","C:\Users\angel\Desktop\NexoPostal\driver-app\src\app\services\auth.service.ts","  private readonly API_URL = '/api/auth';"
"envios-interno.service.ts","80","C:\Users\angel\Desktop\NexoPostal\driver-app\src\app\services\envios-interno.service.ts","  private readonly API_URL = '/api/nexopostal/envios/interno';"
"reparto.service.ts","99","C:\Users\angel\Desktop\NexoPostal\driver-app\src\app\services\reparto.service.ts","  private readonly API_URL = '/api/nexopostal/reparto';"
